sentence,true_label,predicted
Será nuestro secreto.,spa,spa
Tuve que correr mucho para tomar el tren.,spa,spa
Recuerdo haber leído sobre eso.,spa,spa
¡Oh gracias! Qué considerado.,spa,spa
Tom was too shy to talk to anyone.,eng,spa
Tom doesn't understand me the way you do.,eng,spa
You were so cute.,eng,spa
Solo quiero decir que lo lamento.,spa,spa
Yo ya no sé.,spa,spa
No quiero estar acá cuando Tom se despierte.,spa,spa
¿Por qué se oculta?,spa,eng
Casi no puedo entender lo que dice.,spa,spa
The sun is much bigger than Jupiter.,eng,spa
They renovated their houses.,eng,spa
Esta piedra pesa cinco toneladas.,spa,spa
"Where I come from, it's a tradition to name one's first born Tom, and second son John.",eng,spa
We should always try to help others.,eng,spa
You were the best one.,eng,spa
Sami has ended this affair months ago.,eng,spa
Tom a menudo tiene dolores de cabeza.,spa,spa
When do you think Mary is going to want us to help her?,eng,spa
Ella no habla mi idioma.,spa,spa
There are many more questions.,eng,spa
Las ballenas son mamíferos gigantescos que viven en el mar.,spa,spa
¡Estoy tan enamorado!,spa,spa
Me interesa información acerca de sus nuevas computadoras.,spa,spa
I'm still in shock.,eng,spa
There's no way to defeat Tom.,eng,spa
Neither Tom nor Mary has expensive tastes.,eng,spa
¿Todo anda bien con Tom?,spa,eng
No está permitido nadar en este río.,spa,spa
Nos quedamos callados.,spa,spa
I'm probably not the only one that needs to do that.,eng,spa
It is high time we thought more about the damage to the world's climate.,eng,spa
They're escaping.,eng,spa
Quisiera jugar una mesa de ping-pong.,spa,spa
Considero que los Testigos de Jehová que vienen constantemente a llamar a mi puerta no son diferentes de los fanáticos religiosos que intentan convertirme.,spa,spa
Casi nunca oigo la radio.,spa,spa
Tom says he and Mary hardly ever go cycling together.,eng,spa
Tom and Mary both don't know how to drive.,eng,spa
¿Te importaría mostrarme el camino?,spa,eng
Soy ambiciosa.,spa,spa
I intend to wait until Tom and Mary get here.,eng,spa
El cielo es color gris.,spa,spa
"Nosotros escribimos esto en honor de San Patricio, a quien se le acredita el haber traído el Evangelio de Jesucristo a una de las culturas más paganas de su era.",spa,spa
It was a divine intervention.,eng,spa
"Por favor, dame alguna medicina para frenar el dolor.",spa,spa
She is a poor cook.,eng,spa
El artículo es desorientador.,spa,spa
Usaré mi notebook con webcam integrada.,spa,spa
He can have whatever he wants.,eng,spa
Yo dudo de la veracidad de ese informe.,spa,spa
"La senda de la virtud es muy estrecha y el camino del vicio, ancho y espacioso.",spa,spa
Tom parecía muy feliz.,spa,spa
This is the hospital where Tom and I were born.,eng,spa
Hace tres días que tengo dolor de cabeza y no se me va.,spa,spa
I'll go tell them that we're ready.,eng,spa
Esto es algo que ella probablemente no debería haber preguntado.,spa,spa
Wires are used to convey electricity.,eng,spa
Mary told Tom the story that John had told her.,eng,spa
Esperaré arriba.,spa,spa
De ninguna manera sirve ahora reprocharle a él por el accidente.,spa,spa
Muchos turistas visitan Kioto en primavera.,spa,spa
Aren't you guys hungry?,eng,spa
Estuvo inusualmente frío anoche.,spa,spa
"On one occasion Aristotle was asked how much educated men were superior to those uneducated: ""As much,"" said he, ""as the living are to the dead.""",eng,spa
I find your work very impressive.,eng,spa
Todo el mundo sabe que te quiero.,spa,spa
El rápido sistema de tránsito es moderno y eficiente.,spa,spa
Estoy chato de él.,spa,spa
La calle está tan poceada que ningún vehículo se atreve a pasar por ahí.,spa,spa
¿Cuál es mi premio?,spa,eng
Cantemos y bailemos.,spa,spa
Do you even know who Tom and Mary are?,eng,eng
Tom won't give in.,eng,spa
Podría intentar hacerlo yo solo.,spa,spa
Llegaremos demasiado tarde.,spa,spa
You'd be foolish not to do that.,eng,spa
Do you have a rewards card?,eng,spa
"¿Te interesa el béisbol, Tom?",spa,eng
Poca gente puede hablar un idioma extranjero a la perfección.,spa,spa
You'd better not leave today.,eng,spa
¿Quién vota a favor?,spa,eng
Turn down the radio.,eng,spa
¿Has estado en la India alguna vez?,spa,eng
Tom se está dejando la barba de nuevo.,spa,spa
There's no need to worry about that happening.,eng,spa
"Todos los viejitos en algún momento fueron jóvenes, a los jóvenes les resta la vejez por delante, pero solo para aquellos que no mueran en el camino.",spa,spa
Hoy estoy en mi casa.,spa,spa
Tom vouched for Mary.,eng,spa
Why do you do that?,eng,eng
Nara es una ciudad muy vieja.,spa,spa
How did Tom manage to lose so much weight so quickly?,eng,spa
They always speak their minds.,eng,spa
Yo contesto.,spa,spa
This is a picture of Tom and his wife.,eng,spa
Tom and Mary certainly enjoy their wine.,eng,spa
¿Hay algo más que quieres que haga?,spa,eng
Do you think that we'll find her house?,eng,eng
¡Todos los interesados están cálidamente invitados a este evento!,spa,spa
Os llevo a casa.,spa,spa
Los arboles del cacao crecen bien en bosques tropicales.,spa,spa
Su auto le costó más de diez mil dólares.,spa,spa
Deberías echar un vistazo a tu guardarropa y añadir una pizca de color a tu ropa.,spa,spa
I'd be happy to get it for you.,eng,spa
Me dijeron que aguardara un momento.,spa,spa
El presidente tuvo la cortesía de responder mi carta.,spa,spa
I knew it wouldn't be that simple.,eng,spa
¿Puedo ver eso de nuevo?,spa,eng
I know that I'm getting old.,eng,spa
Para mantenerme despierto quizás debería beber un poco más de café.,spa,spa
Why did she run off to Algiers?,eng,eng
Sus zapatos son marrones.,spa,spa
Someone who is misanthropic dislikes people and avoids social situations.,eng,spa
Tell Mary that I need to talk to her.,eng,spa
Mi madre cultiva flores en su jardín.,spa,spa
"A little louder, please.",eng,spa
Sami walked away from the fight.,eng,spa
"After we finished eating, we went for a walk.",eng,spa
¿Tú comes ternera?,spa,eng
What incredible memories!,eng,spa
"Eso es un pasquín, ¿por qué pierdes el tiempo leyendo esa porquería?",spa,eng
"I love music, too.",eng,spa
I'll hug you to death.,eng,spa
Mary said she wanted to be a dentist.,eng,spa
I've got a sandwich.,eng,spa
We walked about five miles.,eng,spa
Con un panel solar puedo ahorrar electricidad.,spa,spa
Le aplastaron la nariz.,spa,spa
Perhaps I ought to tell Tom that I don't like him anymore.,eng,spa
"¿Puedo ayudarla? ""No, gracias. Solo estoy mirando.""",spa,spa
Mary spends a lot of money on jewelry.,eng,spa
Le prometí traducir la interfaz completa.,spa,spa
Ella está preocupada por su seguridad.,spa,spa
Mary said she wanted me to be here tomorrow.,eng,spa
No matamos a Tom.,spa,spa
Tu padre es japonés.,spa,spa
All colours will agree in the dark.,eng,spa
No es necesario traer un regalo.,spa,spa
Murder is a wicked crime.,eng,spa
Yo engañé a mi esposo.,spa,spa
Some people are never content with what they have.,eng,spa
Odio que la gente llegue tarde.,spa,spa
Tom is a decent guy.,eng,spa
It is never too late to mend.,eng,spa
I have something to tell them.,eng,spa
They said that they wanted answers.,eng,spa
Prefiero volar en avión.,spa,spa
El aceite de oliva puede ser perfectamente reemplazado por el aceite de palta.,spa,spa
The building to the right of that office building is the Tokyo Building.,eng,spa
Todavía me encanta esta bicicleta.,spa,spa
Did you tell Tom about tomorrow's meeting?,eng,eng
Las ciudades costeras sufrirán lo peor de la tormenta.,spa,spa
Ella nunca se pone pantalones.,spa,spa
Tom knows you aren't ready.,eng,spa
Doctor: Take a chill pill and then call me in the morning.,eng,spa
Ella de pronto se sintió muy extraña.,spa,spa
"If you want to learn the truth, sit down and listen.",eng,spa
She gave an oral report to her boss.,eng,spa
I don't understand why Tom's supposed to do that.,eng,spa
Sami started telling Layla everything.,eng,spa
"No entiendo a los polígamos. Para mi, una esposa es más que suficiente.",spa,spa
Tom sure talks a lot.,eng,spa
The proof of the pudding is in the eating.,eng,spa
Mi tía va al bingo todos los domingos.,spa,spa
El rocío se evaporó cuando el sol se elevó.,spa,spa
Is doing that difficult?,eng,eng
"Al salir del cuarto, apagó la luz.",spa,spa
Do you still love me?,eng,eng
He wasn't sure how he could help.,eng,spa
Su sonrisa indica que me ha perdonado.,spa,spa
"Since my mother was sick, I looked after her.",eng,spa
I sat on the curb.,eng,spa
El avión va a aterrizar dentro de instantes.,spa,spa
I have all day to get that done.,eng,spa
I heard him while he was playing the violin.,eng,spa
Can't I please just go?,eng,eng
Sami wasn't reacting off of hate.,eng,spa
"Tom thinks if he had done that, Mary would've been upset.",eng,spa
I heard her sobbing.,eng,spa
Nada importa realmente.,spa,spa
El hijo del periodista fue asesinado con tres tiros en el pecho.,spa,spa
I hope your parents will allow us to get married.,eng,spa
They made their way through the crowd.,eng,spa
¡Deja de molestarme!,spa,spa
Tom is going to try to do that this afternoon.,eng,spa
I'm not sure Tom's going to be willing to talk to me.,eng,spa
¿Has descubierto a qué hora empieza la reunión?,spa,eng
Tom asked for a beer.,eng,spa
Estamos dibujando animales.,spa,spa
Otro verano llega a su fin.,spa,spa
Tom put the guitar case down so he could hug Mary.,eng,spa
"Quieta, no te muevas.",spa,spa
You're contradicting yourselves.,eng,spa
Me diste un dolor de cabeza.,spa,spa
Sami said that the matter was extremely urgent.,eng,spa
Tom will have his house repainted.,eng,spa
Quiero un abogado.,spa,spa
Tom explained the rules to Mary in detail.,eng,spa
"I prefer a tent with storm flaps and intersecting tent poles to provide stability against wind and resistance against the weight of snow, and it must be a two-layer tent.",eng,spa
Why should I care why Tom did that?,eng,eng
Pero huele extraño.,spa,spa
"De repente, su cara estaba pálida.",spa,spa
I didn't explain it very well.,eng,spa
This bridge bears only ten tons.,eng,spa
Si yo fuese Tom le habría metido un coñazo a María en la cara.,spa,spa
Mi hijo todavía no sabe contar.,spa,spa
I thought you had already eaten.,eng,spa
"El amor es la respuesta, pero mientras la gente espera la respuesta, el sexo formula unas preguntas muy interesantes.",spa,spa
¿Tengo que hacerlo ya?,spa,eng
Desearía haber hecho más.,spa,spa
"Después de todo, tenías razón.",spa,spa
Tom and Mary said they'd buy something for John to eat.,eng,spa
The number of people who die in traffic accidents is surprising.,eng,spa
No tiene nada que ver con la vida real.,spa,spa
"He aquí a mi esposa, Minna.",spa,spa
"Mi profesor se repite mucho, nos cuenta las mismas batallitas día sí, día también.",spa,spa
"It was after midnight, and Fadil and Layla were sleeping.",eng,spa
I think Tom didn't see me yesterday.,eng,spa
Me da más tristeza que placer.,spa,spa
No puedo entender por qué el hizo eso.,spa,spa
Él bajó libros del estante.,spa,spa
"Incluso si lo admitiera, no podría estar de acuerdo contigo.",spa,spa
Este corte que tengo en la boca no me permite comer ananá.,spa,spa
Tom thought that I didn't have to do that.,eng,spa
"Porque no vayas, no pasa nada.",spa,spa
Seiko no tiene hermanas.,spa,spa
No sé si voy a ganar o perder.,spa,spa
"Cada uno tiene lo que se merece, los demás son solteros.",spa,spa
"Yesterday night, I was almost bitten to death by the laboratory mosquitoes.",eng,spa
I'm getting better at playing the guitar.,eng,spa
"Tú tienes la capacidad de atención de una gallina. ""Las gallinas están deliciosas"". ""Exactamente lo que decía"".",spa,spa
Los terroristas le juraron venganza al país.,spa,spa
Yo sé dónde está ella.,spa,spa
Tom and Mary complained about their low salaries.,eng,spa
My elder sister is good at playing the guitar.,eng,spa
Tom will do that in the morning.,eng,spa
No sé que más podemos hacer.,spa,spa
Sé que es contra la ley.,spa,spa
"Tom hizo todo lo que pudo, pero no lo logró.",spa,spa
Haced vuestras camas.,spa,spa
The notice could not be made out by the students.,eng,spa
Are you a dog person?,eng,eng
Habrá claros.,spa,spa
"Rulers who posses the Way are raised by heaven, supported by the earth and assisted by the spirits.",eng,spa
Le quieren disuadir de que lo haga.,spa,spa
Sami and Layla didn't do anything.,eng,spa
Tom still refuses to speak French.,eng,spa
¿Qué te parece cocinar algo conmigo?,spa,eng
I'm pretty sure Tom and Mary have both finished doing that.,eng,spa
Mi amor por ella es verdadero.,spa,spa
We have until October to finish this project.,eng,spa
Don't be so tense.,eng,spa
What happened to her in Boston?,eng,eng
Tom y Mary eran mis cantantes coristas cuando yo solía actuar.,spa,spa
Tom certainly has a temper.,eng,spa
Would you like to know how I did that?,eng,eng
From which Surah is this Ayah from?,eng,eng
She's in a good mood.,eng,spa
Details are sketchy.,eng,spa
Tom has denied cheating.,eng,spa
Tom necesita un auto nuevo.,spa,spa
"It's very cold in this room, isn't it?",eng,eng
"The Earth is a planet, not a star.",eng,spa
Este no es mi cuchillo.,spa,spa
Debes dejar tu habitación ordenada.,spa,spa
He was a stock-market tycoon until the bears got him.,eng,spa
Llovió durante muchos días.,spa,spa
He's upstairs in his bedroom.,eng,spa
Tom and Mary both look like they want to say something.,eng,spa
Tom está en la escuela todavía.,spa,spa
No sé si es mayor o menor que yo.,spa,spa
"Mary is a very beautiful woman. On a scale of one to ten, she's an eleven.",eng,spa
La obra es a las ocho en punto.,spa,spa
Sami was a heroin addict.,eng,spa
No hay mejor salsa que el hambre.,spa,spa
Usted está exagerando el problema.,spa,spa
The guy over there is Tom.,eng,spa
I used to be tired all the time.,eng,spa
Hice cuanto se me pidió.,spa,spa
Tom doesn't know Mary will be at his birthday party.,eng,spa
Gracias por comprarme esta revista.,spa,spa
Recuerdo haberme encontrado con él antes en algún lugar.,spa,spa
Los hombres de aquella cultura consideran atractivas a las mujeres que tienen el cuello extremadamente largo.,spa,spa
Tom told me that he thought that Mary was furious.,eng,spa
How close are they?,eng,spa
Él es desprendido y compra un montón de regalos.,spa,spa
Slow down! You're driving too fast!,eng,spa
¿Por qué no vienes a mi casa un día de estos?,spa,eng
Quiero un poco de té sin azúcar.,spa,spa
I must be at the wrong place.,eng,spa
Tom esperó pero no vino nadie.,spa,spa
¿Qué hay ahí?,spa,eng
I have a good eye for the value of antiques.,eng,spa
I'd have done that if I'd had more time.,eng,spa
I hope Tom comes tomorrow.,eng,spa
I'll visit Mr. Brown's house tomorrow.,eng,spa
Soy una persona.,spa,spa
Con esto estará bien por ahora.,spa,spa
"A veces, una pequeña chispa provoca una gran hoguera.",spa,spa
"¡Fuera de aquí, canalla!",spa,spa
Tom doesn't spend enough time studying.,eng,spa
Ahora José es un miembro del partido.,spa,spa
I just don't want to do that right now.,eng,spa
Ella come con su padre una vez al mes.,spa,spa
"Limítate a hacerlo, Tom.",spa,spa
"Cartas cortas y amistades largas, así es mi lema.",spa,spa
The Klingons are a warrior spacefaring race.,eng,spa
Él siempre me sorprende.,spa,spa
It is thought that manual firearms appeared in the 14th century.,eng,spa
I don't know that I'm not supposed to do that.,eng,spa
I'm not going to let you leave.,eng,spa
Tom doesn't know that I'm hungry.,eng,spa
We must keep Tom from doing that.,eng,spa
Mary es un cardo.,spa,spa
Tom and I are pretty proud of ourselves.,eng,spa
Tom está en contra de fumar.,spa,spa
La Teoría de los Conjuntos fue elucubrada por Georg Cantor.,spa,spa
No tengo ganas de leer ahora.,spa,spa
I like that video game. And only that video game.,eng,spa
¿Está mal?,spa,eng
Ten minus two is eight.,eng,spa
No one wanted to be seen with me.,eng,spa
Necesito encontrar algo para abrir esta botella.,spa,spa
Así que lanzó la alabarda sin esperanza de acertar al hombre que corría.,spa,spa
Don't talk about Tom like that.,eng,spa
Tom and Mary are still going out with each other.,eng,spa
Estaba esperando un taxi.,spa,spa
Where would Tom go?,eng,eng
Soy profesora.,spa,spa
"Papá, cómprame una vuvuzela.",spa,spa
You don't seem to have the guts to do that anymore.,eng,spa
I'm glad that we didn't wait another day.,eng,spa
All I need is one.,eng,spa
There are five people in our family.,eng,spa
Él no está en sus cabales.,spa,spa
The recent scandals involving altar boys and religious leaders have undermined the faith people have in the Church.,eng,spa
I almost choked.,eng,spa
Tom's porch light is on.,eng,spa
They'll know what to do.,eng,spa
How did you manage it?,eng,eng
Nature made sure that living happily doesn't require much effort: everyone can make himself happy.,eng,spa
Tom soon realized that he was trapped.,eng,spa
Nunca antes había visto una sandía tan grande.,spa,spa
Almost all the students know about it.,eng,spa
Mañana le haremos una reunión de despedida a Nancy.,spa,spa
Tom y Mary viven en estados diferentes.,spa,spa
"Cristóbal Colón empezó a llevar su famoso sombrero al revés cuando todavía iba al colegio, y sus profesores a menudo le castigaban por no querer quitárselo en clase.",spa,spa
"Nuestra tarea ha sido fácil hasta ahora, pero será difícil a partir de aquí.",spa,spa
"There is an important reason that so many working families feel like the system is rigged, and it’s because the economy hasn’t caught up to some of the enormous changes that have transformed America over the past 50 years. Those days when the average family was a dad who went to work every day and a mom who stayed at home and did all the unpaid labor -- that’s not what our economy looks like anymore. Household and work arrangements come in all shapes and all combinations, and yet, our workplace policies still look like they’re straight out of Mad Men.",eng,spa
I pretended that I didn't know Tom was rich.,eng,spa
Rara vez tengo tiempo libre.,spa,spa
Tom ran to the door and tried to get out.,eng,spa
"Darling, why don't you watch a little television while I slip into something more comfortable.",eng,spa
Sami's hair was just a mess.,eng,spa
¿Cuándo se fue a Europa?,spa,eng
I lifted the box.,eng,spa
The zombies attacked the joggers.,eng,spa
It was Angela who put William on to Steven.,eng,spa
Have you discussed this with Tom?,eng,eng
That's our priority.,eng,spa
Voy frecuentemente a Boston.,spa,spa
I think Tom might be busy.,eng,spa
Tom casi siempre se queda dormido mientras ve la TV.,spa,spa
Tom ahuyentó a los gatos de su casa.,spa,spa
They saw the ship.,eng,spa
Ella va al trabajo en taxi.,spa,spa
Where's your father now?,eng,eng
Esperé por dos horas al autobús bajo la nieve.,spa,spa
Think about what you did.,eng,spa
"You didn't do that by yourselves, did you?",eng,eng
"Apparently, Tom and I were wrong.",eng,spa
She has a headache.,eng,spa
Is he Malaysian?,eng,eng
Es un historiador. Ahora está estudiando la estructura de la guerra.,spa,spa
Not everything on the web can be found through Google.,eng,spa
What's this right here?,eng,eng
Tom is likely going to be punished.,eng,spa
We appreciate the advice.,eng,spa
Not all good men will prosper.,eng,spa
Algunos ya estaban algo ebrios.,spa,spa
No sabe quién construyó esas casas.,spa,spa
Ellos durmieron un poco en el cuarto.,spa,spa
Tom would've gone if he could have.,eng,spa
I thought Tom was funny.,eng,spa
The British Expeditionary Force was stranded at Dunkirk.,eng,spa
I haven't seen Tom for weeks.,eng,spa
Tom's father is very rich.,eng,spa
Tom is caught between Scylla and Charybdis.,eng,spa
Tom told me he'll join us later.,eng,spa
I'll stay with them.,eng,spa
"In order to tag sentences, you must, at least, be an ""advanced"" contributor.",eng,spa
She told me she was alone.,eng,spa
Me gusta participar en este proyecto.,spa,spa
Su voz me pone nervioso.,spa,spa
Este perro nos protege.,spa,spa
Al parecer todo el mundo quería uno de esos.,spa,spa
Me suena tu nombre.,spa,spa
Un cerezo crecía en el jardín.,spa,spa
Nadie será sometido a esclavitud.,spa,spa
Sami slipped and fell.,eng,spa
Mary no tiene pudor en cambiarse el bañador sin taparse nada.,spa,spa
No quiero ir a dormir ahora.,spa,spa
Tom is really good at playing the guitar.,eng,spa
I knew Tom knew who did that for him.,eng,spa
Tuvimos una reunión secreta.,spa,spa
I don't think that Tom was amused by what was going on.,eng,spa
La base de nuestro éxito es el buen trabajo en conjunto.,spa,spa
"No puedes convencer a un creyente de nada; porque su creencia no se basa en pruebas, sino en una profunda necesidad de creer.",spa,spa
There isn't time to do that.,eng,spa
Did anyone know how to do that?,eng,eng
Odio que me despierten cuando estoy durmiendo.,spa,spa
No puede oír ni ver.,spa,spa
That's plastic.,eng,spa
My life had no linguistic meaning... until the day I met Saeb.,eng,spa
El doctor le aconsejó a mi padre que dejara de fumar.,spa,spa
A Tom le gustaba su trabajo muchísimo.,spa,spa
Who are they fighting?,eng,eng
Everyone recognized him as a brilliant pianist.,eng,spa
I guess that would be all right.,eng,spa
Ellos nos tienen miedo.,spa,spa
We still haven't decided what to do.,eng,spa
I've been up all night studying.,eng,spa
Los caballos son distintos de los asnos.,spa,spa
What would have happened if Tom had seen us?,eng,eng
I don't think that I'll be doing that anymore.,eng,spa
"Of course, an acrobat must have a perfect sense of balance.",eng,spa
I'm a member of Alcoholics Anonymous.,eng,spa
I didn't know where you were.,eng,spa
"Existen varias vías de acceso principales que conducen hacia Ríonegro, pero también hay otras complementarias.",spa,spa
Estabas endeudada.,spa,spa
Are you sure that's what Tom and Mary were doing?,eng,eng
¿Está permitido?,spa,eng
"Farewell, Cuba.",eng,spa
Yo seguiré vivo hasta la muerte.,spa,spa
They were worried they'd get lost.,eng,spa
Hoy estoy muy triste.,spa,spa
Tom advised Mary not to stay out late at night.,eng,spa
Su manera de hablar me molesta.,spa,spa
"No sólo estamos hambrientos, sino que también sufrimos por la sed.",spa,spa
Mary said she's glad you were able to do that.,eng,spa
Have you ever memorized the national anthem?,eng,eng
Listen carefully and do what I tell you to do.,eng,spa
Would you give it a rest?,eng,eng
It is the behavior of the control group that is important in this connection.,eng,spa
I'll tell you the whole story.,eng,spa
She told me she didn't do that.,eng,spa
Voy ya mismo.,spa,spa
El infierno son los demás.,spa,spa
How long have you been watching us?,eng,eng
Él atesora las viejas fotografías.,spa,spa
Es un pescador que es pecador.,spa,spa
Las termitas comen madera.,spa,spa
He knows how to interrogate people.,eng,spa
A dictionary defines words.,eng,spa
No podemos cambiar lo que pasó.,spa,spa
Saber freír huevos no significa que seas un buen cocinero.,spa,spa
"I saw some English female soldiers in yesterday night's news reel. For some, you couldn't tell whether it was a man or a woman, but the majority were rather feminine, and it didn't feel that grotesque.",eng,spa
No se pudo comprobar la inocencia del acusado.,spa,spa
Lo arregló con dos telefonazos.,spa,spa
¿Qué era lo que querías que le dijese a Tom?,spa,eng
Sometimes it can't be avoided.,eng,spa
Parece que no has entendido para nada el significado de esta palabra.,spa,spa
No vuelvas nunca más.,spa,spa
Your resume is impressive.,eng,spa
Tom trabaja para una gran compañía.,spa,spa
"Tom is quite patient, isn't he?",eng,eng
She said that she's unafraid.,eng,spa
Tom wasn't moving.,eng,spa
No te enamoras de alguien porque es perfecto.,spa,spa
We have some pressing problems to solve.,eng,spa
Me pongo muy contento cada vez que lo veo.,spa,spa
I know you've helped us.,eng,spa
I know Tom doesn't know Mary did that.,eng,spa
Tom cries easily.,eng,spa
I'm not giving up hope.,eng,spa
Te dije que hicieses tus tareas.,spa,spa
He visitado Kioto antes.,spa,spa
Ya no tenemos pan.,spa,spa
No tienes ni idea.,spa,spa
Algunas personas caricaturizan a los homosexuales como afeminados hablando con ceceo.,spa,spa
"Hazlo todo bien. ""Lo haré, sin duda.""",spa,spa
The person Tom is talking to is Mary.,eng,spa
Quiero hablar con Tom primero.,spa,spa
Tengo que seguir intentando.,spa,spa
Eres muy idiota para salir con este tiempo.,spa,spa
Esos pobres hombres. ¿No son deplorables?,spa,eng
Tom didn't exactly agree with me.,eng,spa
Keep hold of my hand if you're afraid.,eng,spa
Why do you always contradict me?,eng,eng
Tom and Mary met three years ago.,eng,spa
Tom no afiló los cuchillos del modo que dijo que hacía.,spa,spa
It wasn't all that funny.,eng,spa
"Sí, te llamo a las nueve. ¿Vas a estar?",spa,eng
No soy húngaro.,spa,spa
"Tom is in Boston, isn't he?",eng,eng
Ella se está cepillando el pelo.,spa,spa
¡Otra vez!,spa,spa
I wasn't enjoying myself.,eng,spa
It is gone now.,eng,spa
Terminar contigo fue un error.,spa,spa
Está realmente delicioso.,spa,spa
Creo que ella no se preocupa mucho.,spa,spa
Mi perro come uvas.,spa,spa
Mi coche no aguantará mucho más.,spa,spa
I couldn't find a single picture of Tom wearing a hat.,eng,spa
We have to go back for her.,eng,spa
Tom asked Mary why she was late.,eng,spa
¿Qué tipo de persona es ella?,spa,eng
¿Le gustaría enseñarme a jugar al ajedrez?,spa,eng
Tom would've been proud of you.,eng,spa
It's very hard to see yourself as others see you.,eng,spa
"Ella es buena para hablar en inglés, no lo es menos que su hermano.",spa,spa
Soy tres años más pequeño que Tom.,spa,spa
I can't seem to keep out of trouble.,eng,spa
Tom me ha contado muchas cosas sobre ti.,spa,spa
When will Tom arrive?,eng,eng
La educación es una fuerza que trae el progreso.,spa,spa
La economía no es una ciencia exacta.,spa,spa
Pensé que Tom era de Boston.,spa,spa
I have booked a table for four.,eng,spa
¿Te gustaría participar en este arriesgado experimento?,spa,eng
Nobody went to class.,eng,spa
Tengo que pagar el arriendo.,spa,spa
This writer is at his best in his short stories.,eng,spa
Pasé las vacaciones en Hakone.,spa,spa
Quisiera un zumo de frutas.,spa,spa
Tom didn't think Mary was cooperative.,eng,spa
"We're not really going to buy all these people steak dinners, are we?",eng,eng
El artículo alude a un evento ya olvidado.,spa,spa
Empezará después de que venga.,spa,spa
Alguien olvidó su gorra.,spa,spa
Tom waters his lawn at least once a week when there's no rain.,eng,spa
Él se dio la mano con su amigo.,spa,spa
Lamento mucho que estés resfriado en la cama. Hoy he estado jugando un ratito con Mary. Espero que para mañana seas capaz de levantarte. Me alegro de que hoy yo esté mejor del resfriado.,spa,spa
We will never do it again.,eng,spa
I wasn't able to play tennis as often last year as I wanted to.,eng,spa
You might want to try working out a bit.,eng,spa
"Si te espían de verdad, no es paranoia.",spa,spa
I think that Tom is too weak to do that.,eng,spa
I'd like to ask for something to drink.,eng,spa
How many years have you already spent doing that?,eng,eng
I know Tom was unfazed by that.,eng,spa
Había varios objetos en el cuarto.,spa,spa
Las cortinas del dormitorio se han descolorado en los bordes.,spa,spa
Está muerto. Es oficial.,spa,spa
"Con dinero se puede comprar hasta el amor, pero no el cariño.",spa,spa
Tom was born in a small town not too far from Boston.,eng,spa
I've always lived on Park Street.,eng,spa
Tom likes eating raw oysters.,eng,spa
Tom era adicto al sexo.,spa,spa
Voy a encontrarme con Tom.,spa,spa
Mary rarely uses her phone.,eng,spa
I'll give you our answer after we go into your proposal in greater detail.,eng,spa
Este no es su lugar.,spa,spa
Tom y Mary están justo detrás de John.,spa,spa
Mi padre quiere que me haga ingeniero.,spa,spa
He's very good at guitar.,eng,spa
Debería haber dicho algo.,spa,spa
"Si te portas bien, te daré dulces.",spa,spa
Sami was fucking in his room.,eng,spa
Tom está leyendo.,spa,spa
"Te veo luego, cocodrilo.",spa,spa
No comprendo el significado de todo esto.,spa,spa
Do you still drink milk?,eng,eng
Esto tiene que ocurrir.,spa,spa
Ya no es ningún niño.,spa,spa
I'm only interested in nonstop flights.,eng,spa
I have my hands full.,eng,spa
The train flipped over.,eng,spa
Tom encontró un buen restaurante no tan lejos de nuestro campus.,spa,spa
No tengo ni idea de lo que estará pensando ese chico.,spa,spa
La comida pasa de la garganta al estómago.,spa,spa
The murder scene was still a hive of police activity several days after the man's body had been discovered.,eng,spa
I started to read my new book.,eng,spa
"Para estudiar en el extranjero, no puedo decidirme si ir a Australia o a Canadá.",spa,spa
No olvide usar hilo dental.,spa,spa
I'd die without you.,eng,spa
Tom estaba indeciso.,spa,spa
Él es mejor que yo tocando el piano.,spa,spa
Estoy enterado de eso.,spa,spa
He's going through a stage.,eng,spa
I know that Tom doesn't know that I shouldn't be doing that.,eng,spa
Sami doesn't talk to Layla.,eng,spa
Mis hermanos se pasan el día discutiendo temas intrascendentes.,spa,spa
Tom quería que viniera a desayunar así que lo hice.,spa,spa
They devised ingenious solutions.,eng,spa
Sabíamos que podíamos contar con Mary.,spa,spa
Esta historia es de lejos más interesante que aquella.,spa,spa
Tom quiere hablar con todos nosotros.,spa,spa
Tuvimos un breve coloquio sobre los derechos humanos.,spa,spa
Está al punto de sal.,spa,spa
Él gritó hasta donde le dio la voz.,spa,spa
Esa no es una buena excusa.,spa,spa
I'll expect to hear from you by Tuesday.,eng,spa
I'm sick and tired of this.,eng,spa
"If anything happens to Tom, I'll come looking for you.",eng,spa
"Las colonias son un anacronismo en el siglo XXI, donde hay solo 16 casos en todo el mundo, diez de los cuales son protagonizados por el Reino Unido.",spa,spa
Taiwan was hit by a powerful earthquake.,eng,spa
Votemos.,spa,spa
¿Me puedes arreglar el teclado?,spa,eng
I rode with her as far as the station.,eng,spa
Tom intentó responder a la pregunta.,spa,spa
No hay motivo para risa.,spa,spa
Los alemanes tienen la misma cantidad de palabras para una reunión que los esquimales para la nieve.,spa,spa
I am not the least bit worried.,eng,spa
I will scrutinize you closely.,eng,spa
They say they won't study French.,eng,spa
I wonder whether Tom and Mary want to buy a car.,eng,spa
